ranks,profile,fold,src_x,src_y,dst_x,dst_y,direction,flit_cycles
16,wse_fast,on,0,0,0,1,V+,12240
16,wse_fast,on,0,0,1,0,H+,5952
16,wse_fast,on,0,1,0,0,V-,12240
16,wse_fast,on,0,1,0,2,V+,12240
16,wse_fast,on,0,1,1,1,H+,5952
16,wse_fast,on,0,2,0,1,V-,12240
16,wse_fast,on,0,2,0,3,V+,12240
16,wse_fast,on,0,2,1,2,H+,5952
16,wse_fast,on,0,3,0,2,V-,12240
16,wse_fast,on,0,3,1,3,H+,5952
16,wse_fast,on,1,0,0,0,H-,5952
16,wse_fast,on,1,0,1,1,V+,12576
16,wse_fast,on,1,0,2,0,H+,6144
16,wse_fast,on,1,1,0,1,H-,5952
16,wse_fast,on,1,1,1,0,V-,12576
16,wse_fast,on,1,1,1,2,V+,12576
16,wse_fast,on,1,1,2,1,H+,6144
16,wse_fast,on,1,2,0,2,H-,5952
16,wse_fast,on,1,2,1,1,V-,12576
16,wse_fast,on,1,2,1,3,V+,12576
16,wse_fast,on,1,2,2,2,H+,6144
16,wse_fast,on,1,3,0,3,H-,5952
16,wse_fast,on,1,3,1,2,V-,12576
16,wse_fast,on,1,3,2,3,H+,6144
16,wse_fast,on,2,0,1,0,H-,6144
16,wse_fast,on,2,0,2,1,V+,12576
16,wse_fast,on,2,0,3,0,H+,5952
16,wse_fast,on,2,1,1,1,H-,6144
16,wse_fast,on,2,1,2,0,V-,12576
16,wse_fast,on,2,1,2,2,V+,12576
16,wse_fast,on,2,1,3,1,H+,5952
16,wse_fast,on,2,2,1,2,H-,6144
16,wse_fast,on,2,2,2,1,V-,12576
16,wse_fast,on,2,2,2,3,V+,12576
16,wse_fast,on,2,2,3,2,H+,5952
16,wse_fast,on,2,3,1,3,H-,6144
16,wse_fast,on,2,3,2,2,V-,12576
16,wse_fast,on,2,3,3,3,H+,5952
16,wse_fast,on,3,0,2,0,H-,5952
16,wse_fast,on,3,0,3,1,V+,12240
16,wse_fast,on,3,1,2,1,H-,5952
16,wse_fast,on,3,1,3,0,V-,12240
16,wse_fast,on,3,1,3,2,V+,12240
16,wse_fast,on,3,2,2,2,H-,5952
16,wse_fast,on,3,2,3,1,V-,12240
16,wse_fast,on,3,2,3,3,V+,12240
16,wse_fast,on,3,3,2,3,H-,5952
16,wse_fast,on,3,3,3,2,V-,12240
16,wse_fast,off,0,0,0,1,V+,12240
16,wse_fast,off,0,0,1,0,H+,5952
16,wse_fast,off,0,1,0,0,V-,12240
16,wse_fast,off,0,1,0,2,V+,12240
16,wse_fast,off,0,1,1,1,H+,5952
16,wse_fast,off,0,2,0,1,V-,12240
16,wse_fast,off,0,2,0,3,V+,12240
16,wse_fast,off,0,2,1,2,H+,5952
16,wse_fast,off,0,3,0,2,V-,12240
16,wse_fast,off,0,3,1,3,H+,5952
16,wse_fast,off,1,0,0,0,H-,5952
16,wse_fast,off,1,0,1,1,V+,12576
16,wse_fast,off,1,0,2,0,H+,5760
16,wse_fast,off,1,1,0,1,H-,5952
16,wse_fast,off,1,1,1,0,V-,12576
16,wse_fast,off,1,1,1,2,V+,12576
16,wse_fast,off,1,1,2,1,H+,5760
16,wse_fast,off,1,2,0,2,H-,5952
16,wse_fast,off,1,2,1,1,V-,12576
16,wse_fast,off,1,2,1,3,V+,12576
16,wse_fast,off,1,2,2,2,H+,5760
16,wse_fast,off,1,3,0,3,H-,5952
16,wse_fast,off,1,3,1,2,V-,12576
16,wse_fast,off,1,3,2,3,H+,5760
16,wse_fast,off,2,0,1,0,H-,5760
16,wse_fast,off,2,0,2,1,V+,12240
16,wse_fast,off,2,0,3,0,H+,5952
16,wse_fast,off,2,1,1,1,H-,5760
16,wse_fast,off,2,1,2,0,V-,12240
16,wse_fast,off,2,1,2,2,V+,12240
16,wse_fast,off,2,1,3,1,H+,5952
16,wse_fast,off,2,2,1,2,H-,5760
16,wse_fast,off,2,2,2,1,V-,12240
16,wse_fast,off,2,2,2,3,V+,12240
16,wse_fast,off,2,2,3,2,H+,5952
16,wse_fast,off,2,3,1,3,H-,5760
16,wse_fast,off,2,3,2,2,V-,12240
16,wse_fast,off,2,3,3,3,H+,5952
16,wse_fast,off,3,0,2,0,H-,5952
16,wse_fast,off,3,0,3,1,V+,12576
16,wse_fast,off,3,1,2,1,H-,5952
16,wse_fast,off,3,1,3,0,V-,12576
16,wse_fast,off,3,1,3,2,V+,12576
16,wse_fast,off,3,2,2,2,H-,5952
16,wse_fast,off,3,2,3,1,V-,12576
16,wse_fast,off,3,2,3,3,V+,12576
16,wse_fast,off,3,3,2,3,H-,5952
16,wse_fast,off,3,3,3,2,V-,12576
16,iq,on,0,0,0,1,V+,6120
16,iq,on,0,0,1,0,H+,2976
16,iq,on,0,1,0,0,V-,6120
16,iq,on,0,1,0,2,V+,6120
16,iq,on,0,1,1,1,H+,2976
16,iq,on,0,2,0,1,V-,6120
16,iq,on,0,2,0,3,V+,6120
16,iq,on,0,2,1,2,H+,2976
16,iq,on,0,3,0,2,V-,6120
16,iq,on,0,3,1,3,H+,2976
16,iq,on,1,0,0,0,H-,2976
16,iq,on,1,0,1,1,V+,6288
16,iq,on,1,0,2,0,H+,3072
16,iq,on,1,1,0,1,H-,2976
16,iq,on,1,1,1,0,V-,6288
16,iq,on,1,1,1,2,V+,6288
16,iq,on,1,1,2,1,H+,3072
16,iq,on,1,2,0,2,H-,2976
16,iq,on,1,2,1,1,V-,6288
16,iq,on,1,2,1,3,V+,6288
16,iq,on,1,2,2,2,H+,3072
16,iq,on,1,3,0,3,H-,2976
16,iq,on,1,3,1,2,V-,6288
16,iq,on,1,3,2,3,H+,3072
