ranks,profile,fold,compiler_cycles,booksim_cycles,compute_barrier_cycles,steps_per_sec,relative_error,congestion_ratio,wavefronts,commands,branches,logical_bytes,branch_link_bytes,status
16,wse_fast,on,107546,107553,57923,18595.48315714113,6.508842727763004e-05,0.0,20,20,192,1175040,1768704,PASS
16,wse_fast,off,107526,107533,57923,18598.94172021612,6.510053382437736e-05,0.0,20,20,192,1175040,1756416,PASS
16,iq,on,82803,82811,57923,24151.380855200397,9.661485694962742e-05,0.0,20,20,192,1175040,1768704,PASS
16,iq,off,82780,82788,57923,24158.090544523362,9.664170089393573e-05,0.0,20,20,192,1175040,1756416,PASS
64,wse_fast,on,75187,75194,18859,26597.866851078543,9.310120100549297e-05,0.0,28,28,896,3592704,6308352,PASS
64,wse_fast,off,74941,74948,18859,26685.1683834125,9.340681335984308e-05,0.0,28,28,896,3592704,6223872,PASS
64,iq,on,47123,47131,18859,42434.91544843097,0.0001697684782378032,0.0,28,28,896,3592704,6308352,PASS
64,iq,off,46935,46943,18859,42604.86121466459,0.0001704484925961436,0.0,28,28,896,3592704,6223872,PASS
256,wse_fast,on,82930,82937,6736,24114.68946308644,8.440853732063186e-05,0.0,48,48,3840,11974656,22477056,PASS
256,wse_fast,off,83608,83615,6736,23919.153261974527,8.372404554588077e-05,0.0,48,48,3840,11974656,22280448,PASS
256,iq,on,44988,44996,6736,44448.395412925594,0.00017782519783053258,0.0,48,48,3840,11974656,22477056,PASS
256,iq,off,46080,46088,6736,43395.24388127061,0.00017361111111111112,0.0,48,48,3840,11974656,22280448,PASS
