ranks,profile,fold,stage_index,stage_id,phase,axis,mode,b,wavefronts,branches,branches_expected,branches_delivered,link_bytes,compiler_start_cycle,compiler_completion_cycle,booksim_release_cycle,booksim_completion_cycle,booksim_stage_span_cycles
16,wse_fast,on,0,t1.forward.H.0,forward,H,multicast,2,6,48,48,48,288768,57923,67166,57923,71534,13612
16,wse_fast,on,1,t1.forward.V.1,forward,V,multicast,1,4,48,48,48,595584,67166,79592,67166,88856,21691
16,wse_fast,on,2,t1.reverse.H.2,reverse,H,reduction,2,6,48,48,48,288768,79592,88835,82559,94976,12418
16,wse_fast,on,3,t1.reverse.V.3,reverse,V,reduction,1,4,48,48,48,595584,88835,101261,88835,107552,18718
16,wse_fast,off,0,t1.forward.H.0,forward,H,multicast,2,6,48,48,48,282624,57923,67148,57923,71474,13552
16,wse_fast,off,1,t1.forward.V.1,forward,V,multicast,1,4,48,48,48,595584,67148,79586,67148,88844,21697
16,wse_fast,off,2,t1.reverse.H.2,reverse,H,reduction,2,6,48,48,48,282624,79586,88811,79586,94772,15187
16,wse_fast,off,3,t1.reverse.V.3,reverse,V,reduction,1,4,48,48,48,595584,88811,101249,90227,107532,17306
16,iq,on,0,t1.forward.H.0,forward,H,multicast,2,6,48,48,48,288768,57923,62567,57923,64750,6828
16,iq,on,1,t1.forward.V.1,forward,V,multicast,1,4,48,48,48,595584,62567,68795,62567,73426,10860
16,iq,on,2,t1.reverse.H.2,reverse,H,reduction,2,6,48,48,48,288768,68795,73439,70271,76486,6216
16,iq,on,3,t1.reverse.V.3,reverse,V,reduction,1,4,48,48,48,595584,73439,79667,73439,82810,9372
16,iq,off,0,t1.forward.H.0,forward,H,multicast,2,6,48,48,48,282624,57923,62543,57923,64710,6788
16,iq,off,1,t1.forward.V.1,forward,V,multicast,1,4,48,48,48,595584,62543,68787,62543,73410,10868
16,iq,off,2,t1.reverse.H.2,reverse,H,reduction,2,6,48,48,48,282624,68787,73407,68787,76374,7588
16,iq,off,3,t1.reverse.V.3,reverse,V,reduction,1,4,48,48,48,595584,73407,79651,74095,82787,8693
64,wse_fast,on,0,t1.forward.H.0,forward,H,multicast,3,8,224,224,224,668160,18859,25327,18859,27487,8629
64,wse_fast,on,1,t1.forward.V.1,forward,V,multicast,2,6,224,224,224,2486016,25327,42634,25327,51034,25708
64,wse_fast,on,2,t1.reverse.H.2,reverse,H,reduction,3,8,224,224,224,668160,42634,49102,42634,54226,11593
64,wse_fast,on,3,t1.reverse.V.3,reverse,V,reduction,2,6,224,224,224,2486016,49102,66409,49102,75193,26092
64,wse_fast,off,0,t1.forward.H.0,forward,H,multicast,3,8,224,224,224,656640,18859,25303,18859,27349,8491
64,wse_fast,off,1,t1.forward.V.1,forward,V,multicast,2,6,224,224,224,2455296,25303,42592,25303,50854,25552
64,wse_fast,off,2,t1.reverse.H.2,reverse,H,reduction,3,8,224,224,224,656640,42592,49036,42592,53854,11263
64,wse_fast,off,3,t1.reverse.V.3,reverse,V,reduction,2,6,224,224,224,2455296,49036,66325,49036,74947,25912
64,iq,on,0,t1.forward.H.0,forward,H,multicast,3,8,224,224,224,668160,18859,22123,18859,23202,4344
64,iq,on,1,t1.forward.V.1,forward,V,multicast,2,6,224,224,224,2486016,22123,30799,22123,34998,12876
64,iq,on,2,t1.reverse.H.2,reverse,H,reduction,3,8,224,224,224,668160,30799,34063,30799,36594,5796
64,iq,on,3,t1.reverse.V.3,reverse,V,reduction,2,6,224,224,224,2486016,34063,42739,34063,47130,13068
